,FIPS,candidatevotes,totalvotes,Lat,Long_
786,19055,5694.0,9241,42.47104597,-91.3664492
787,19057,9529.0,19103,40.92012606,-91.18326592
788,19059,6753.0,10354,43.37787725,-95.1510206
789,19061,23460.0,49721,42.46815349,-90.88181925
790,19063,3124.0,4753,43.37782951,-94.67858943
791,19065,5620.0,9975,42.86271799,-91.8441231
792,19067,4375.0,8060,43.06000529999999,-92.78940097
793,19069,3163.0,4968,42.73270384,-93.26256925
794,19071,2407.0,3595,40.74542720000001,-95.60129045
795,19073,2820.0,4821,42.03614551,-94.39658081
796,19075,4527.0,6872,42.40183723,-92.78829551
797,19077,3628.0,5750,41.68378965,-94.50111014
798,19079,4463.0,7694,42.38382428,-93.70197703
799,19081,3977.0,5871,43.08178477,-93.73454884
800,19083,5254.0,8533,42.38353877,-93.23654611
801,19085,4902.0,7465,41.68330137,-95.81558439
802,19087,5779.0,9404,40.98767962,-91.54436349
803,19089,2611.0,4559,43.35671042,-92.31702714
804,19091,3568.0,5087,42.7764426,-94.20722537
805,19093,2655.0,3612,42.38696136,-95.51355387
806,19095,5205.0,8904,41.68630265,-92.0643373
807,19097,5824.0,10310,42.17178824,-90.57354837
808,19099,10560.0,19034,41.68576082,-93.05567785
809,19101,3748.0,8156,41.03192394,-91.94849466
810,19103,21044.0,76940,41.67169354,-91.58754744
811,19105,5720.0,10133,42.12118609,-91.13139641
812,19107,3390.0,4985,41.33649833,-92.1785067
813,19109,5653.0,8607,43.20405458,-94.20691791
814,19111,8803.0,16151,40.64181461,-91.48183025
815,19113,48390.0,117098,42.07923082,-91.59809485
816,19115,3069.0,5008,41.21842119,-91.26102611
817,19117,2877.0,4354,41.02958964,-93.32780803
818,19119,5192.0,6377,43.38107862,-96.20926845
819,19121,5360.0,8636,41.33081904,-94.01554631
820,19123,7432.0,10632,41.33521503,-92.64083907
821,19125,10962.0,17816,41.33445101,-93.09934783
822,19127,9146.0,17980,42.03586837,-92.9990819
823,19129,5067.0,7698,41.03299766,-95.61920963
824,19131,3190.0,5417,43.35638371,-92.78887719
825,19133,3120.0,4572,42.05220391,-95.95743843
826,19135,2638.0,3865,41.02988815,-92.8690667
827,19137,3436.0,5044,41.03018714,-95.15642896
828,19139,9584.0,19434,41.48370744,-91.1121697
829,19141,5752.0,7406,43.08310673,-95.62474482
830,19143,2531.0,3213,43.37824276,-95.62422844
831,19145,4893.0,7044,40.7393172,-95.1497813
832,19147,3081.0,4703,43.08193849,-94.67824621
833,19149,9680.0,13190,42.737633,-96.21366621
834,19151,2702.0,3865,42.73420133,-94.67862564
835,19153,93492.0,231555,41.68679484,-93.57767461
836,19155,24447.0,42680,41.33640314,-95.53907776
837,19157,4946.0,9833,41.68625425,-92.53155731
838,19159,1824.0,2707,40.73518949,-94.24368535
839,19161,3703.0,5212,42.38624071,-95.10547892
840,19163,39149.0,86220,41.63935978,-90.61959493
841,19165,4362.0,6370,41.6850066,-95.31015553
842,19167,14785.0,18194,43.08221074,-96.1767568
843,19169,19458.0,50667,42.03621213,-93.46499005
844,19171,4971.0,8752,42.07991767,-92.53266945
845,19173,2111.0,3029,40.73710579,-94.69778563
846,19175,3525.0,5832,41.0277278,-94.24234847
847,19177,2527.0,3561,40.75326764,-91.95017958
848,19179,8715.0,15149,41.03064984,-92.40954728
849,19181,14814.0,27300,41.33559454,-93.56007641
850,19183,6173.0,10929,41.33577126,-91.71725711
851,19185,2069.0,2940,40.73969028,-93.32752197
852,19187,10056.0,17430,42.42853483,-94.17987389
853,19189,3447.0,5787,43.37751174,-93.73407298
854,19191,5344.0,11362,43.29094334,-91.84422722
855,19193,24727.0,43718,42.38979414,-96.0459439
856,19195,2453.0,4257,43.37750768,-93.26087602
857,19197,3800.0,6026,42.73305373,-93.73515113
858,20001,3651.0,5454,37.88582951,-95.30030847
859,20003,2435.0,3350,38.21413251,-95.29272815
860,20005,4049.0,6575,39.53185661,-95.30870026
861,20007,1850.0,2252,37.2288586,-98.68460053
862,20009,7888.0,10269,38.47889676,-98.75636726
863,20011,4424.0,6093,37.85508555,-94.84865997
864,20013,2906.0,4036,39.82652589,-95.56421698
865,20015,19073.0,27657,37.78134351,-96.83878537
866,20017,969.0,1369,38.30292938,-96.59563862
867,20019,1236.0,1481,37.14994405,-96.2454192
868,20021,6182.0,8620,37.16928494,-94.8462897
869,20023,1173.0,1407,39.78580976,-101.7318201
870,20025,825.0,1005,37.23577007,-99.81883015
871,20027,2891.0,3820,39.34948772,-97.16518128
872,20029,2919.0,3930,39.48028352,-97.64925343
873,20031,3050.0,4068,38.2365018,-95.73379515
874,20033,715.0,867,37.19114520000001,-99.27113247
875,20035,8270.0,12621,37.23781842,-96.83776647
876,20037,8624.0,14891,37.50675523,-94.85245778
877,20039,1210.0,1452,39.78468441,-100.4594081
878,20041,6029.0,8210,38.86600962,-97.15532383
879,20043,2606.0,3378,39.79067154,-95.14056866
880,20045,14688.0,50087,38.88503636,-95.2925121
881,20047,1037.0,1319,37.88735543,-99.31263309
882,20049,1048.0,1259,37.45338105,-96.24369667
883,20051,8466.0,11947,38.91458712,-99.31751551
884,20053,1969.0,2679,38.69677695,-98.20462799
885,20055,6350.0,10159,38.04340344,-100.7381938
886,20057,5114.0,7718,37.69200114,-99.88825298
887,20059,7185.0,10965,38.56443815,-95.28644341
888,20061,4274.0,7504,38.99871131,-96.7577178
889,20063,1140.0,1343,38.91588178,-100.4829321
890,20065,1025.0,1284,39.34987223,-99.88332493
891,20067,1804.0,2389,37.56227336,-101.3079758
892,20069,1698.0,2066,37.73836671,-100.4369088
893,20071,534.0,650,38.4808095,-101.8061079
894,20073,2160.0,2840,37.8774388,-96.23250453
895,20075,705.0,876,37.99978709,-101.7921066
896,20077,1996.0,2578,37.19175361,-98.07578384
897,20079,8668.0,14916,38.04293782,-97.42747573
898,20081,1040.0,1354,37.5620394,-100.8710738
899,20083,855.0,1017,38.08780079,-99.89829881
900,20085,3939.0,5818,39.41673394,-95.79356799
901,20087,5213.0,8337,39.2347941,-95.38289232
902,20089,1223.0,1494,39.78470589,-98.21820662
903,20091,137490.0,290090,38.88548175,-94.82250877
904,20093,1075.0,1316,38.00017981,-101.321681
905,20095,2530.0,3334,37.55909527,-98.13638678
906,20097,900.0,1079,37.55848695,-99.2856537
907,20099,5335.0,8107,37.19113093,-95.29849679
908,20101,718.0,871,38.48119447,-100.4660754
909,20103,17638.0,30301,39.20183497,-95.03620809
910,20105,1179.0,1464,39.04549684,-98.20756994
911,20107,3484.0,4427,38.21267844,-94.84254089
912,20109,1132.0,1357,38.91735806,-101.148475
913,20111,6552.0,12288,38.45576156,-96.15275715
914,20113,8549.0,12742,38.39184858,-97.64769869
915,20115,4003.0,5624,38.35855394,-97.0985251
916,20117,3307.0,4673,39.78359669,-96.52278974
917,20119,1415.0,1720,37.23859987,-100.364831
918,20121,10003.0,15022,38.56383358,-94.83832189
919,20123,2308.0,2942,39.39331582,-98.20906732
920,20125,8679.0,12004,37.19236568,-95.74329258
921,20127,1820.0,2624,38.68827511,-96.65128437
922,20129,995.0,1192,37.19141121,-101.79925190000002
923,20131,4124.0,5122,39.78345387,-96.01392079
924,20133,4431.0,6314,37.55862897,-95.30670046
925,20135,1228.0,1454,38.47974157,-99.91547333
